task_id,plan_id,bucket_id,assignee_ids,title,description,status,priority,due_date,tags,checklist,comments,attachments
t023,p008,b037,,Patch CVE in auth gateway — Quarterly Engineering Sprint — Q1 Delivery,Investigate why Linux usage spiked last week and produce a write-up.,todo,5,2026-07-16,"infrastructure,monitoring,infrastructure",[],[],[]
t024,p003,b013,u010,Set up Spark cluster for ML team — DevOps Standalone Project — Terraform Bootstrap,Provision AWS resources for the upcoming launch and verify capacity.,todo,1,2026-06-17,"infrastructure,aws,monitoring",[],[],[]
t025,p002,b008,"u244,u291,u109",Migrate job runner to v18 — Frontend Modernization — Design System Migration,Document the steps to run Monitoring integration in the new environment.,todo,3,,,[],[],[]
t026,p004,b018,u004,Logs — Backend Cleanup Sprint — Auth Service,Coordinate with the platform team on Monitoring migration.,todo,3,2026-06-06,,[],[],[]
t027,p024,b112,"u269,u294,u118",Audit Kubernetes cluster security and policies — Cloud Migration Q2 — Wave 3 — Data Plane,Document the steps to run Linux integration in the new environment.,todo,1,2026-05-22,"infrastructure,devops,aws",[],[],[]
t028,p027,b126,,Investigate nginx ingress flaky tests,Review the Kubernetes configuration across production and propose adjustments.,todo,3,,"infrastructure,terraform,reliability",[],[],[]
t029,p009,b042,"u245,u103,u118",Refactor — Mobile Modernization — Core App,Document the steps to run Linux integration in the new environment.,todo,9,2026-03-28,"infrastructure,terraform",[],[],[]
t030,p039,b184,"u137,u186",Set up Spark cluster for platform team — AI Platform R&D — Evaluation Harness,Coordinate with the ML team on AWS migration.,todo,3,2026-08-30,,[],[],[]
t031,p037,b174,,Investigate event bus latency spike — Product Roadmap Q3 — Workplace Suite,Review the AWS configuration across production and propose adjustments.,todo,5,2026-07-15,,[],[],[]
t032,p007,b030,"u172,u153,u086",Update PostgreSQL configuration — Infrastructure Review Q3 2026 — Production AWS,Document the steps to run Kubernetes integration in the new environment.,todo,9,2026-08-10,"infrastructure,review",[],[],[]
t033,p017,b080,,Patch CVE in job runner — Mobile App 2026 — Android Foundation,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-05-24,"infrastructure,aws,infrastructure",[],[],[]
t034,p048,b228,,Logs — Cloud Migration Q2 — Wave 4 — Edge,Coordinate with the ML team on Monitoring migration.,todo,9,2026-06-19,,[],[],[]
t035,p013,b062,,Update monitoring stack configuration — Infrastructure Review Q1 2026 — Network Audit,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-05-23,"infrastructure,terraform",[],[],[]
t036,p009,b042,,Refactor — Mobile Modernization — Core App (2),Coordinate with the data team on Monitoring migration.,todo,9,2026-05-25,"infrastructure,reliability",[],[],[]
t037,p042,b199,,Update Spark cluster configuration — Infrastructure Review Q4 2026 — Capacity Forecast,Document the steps to run Docker integration in the new environment.,todo,1,2026-07-12,"infrastructure,security",[],[],[]
t038,p042,b197,,Audit API gateway security and policies — Infrastructure Review Q4 2026 — Capacity Forecast,Provision Linux resources for the upcoming launch and verify capacity.,todo,3,2026-09-01,,[],[],[]
t039,p014,b065,u281,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy — Backend Cleanup Sprint — Billing Service,Investigate why Docker usage spiked last week and produce a write-up.,todo,5,2026-07-16,,[],[],[]
t040,p016,b074,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints — Platform Cleanup Sprint — Core Services,Document the steps to run Kubernetes integration in the new environment.,todo,3,2026-08-26,,[],[],[]
t041,p030,b141,,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy — Infrastructure Review Q3 2026 — Staging GCP,Coordinate with the data team on Docker migration.,todo,3,2026-05-24,"infrastructure,review",[],[],[]
t042,p010,b047,,Migrate payment service to v1.7 — Infrastructure Review Q1 2026 — Production AWS,Coordinate with the ML team on Linux migration.,todo,9,2026-08-26,,[],[],[]
t043,p025,b119,u123,Update PostgreSQL configuration — Mobile App 2026 — Offline Sync,Document the steps to run Terraform integration in the new environment.,todo,9,2026-06-12,,[],[],[]
t044,p014,b066,,Migrate event bus to v15,Coordinate with the ML team on Terraform migration.,todo,9,2026-05-05,,[],[],[]
t045,p009,b040,"u297,u157,u030",Audit Kubernetes cluster security and policies — Mobile Modernization — Core App,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-05-24,"infrastructure,devops,monitoring",[],[],[]
t046,p038,b180,"u277,u066",Logs — Infrastructure Review Q3 2026 — Kubernetes Posture,Investigate why Linux usage spiked last week and produce a write-up.,todo,9,2026-06-08,"infrastructure,terraform",[],[],[]
t047,p032,b150,,Review job runner architecture — Cloud Migration Q4 — Wave 6 — Cost Tuning,Document the steps to run Security integration in the new environment.,todo,1,,"infrastructure,security,kubernetes",[],[],[]
t048,p015,b071,,Set up Kafka for platform team — Mobile App 2026 — iOS Foundation,Provision AWS resources for the upcoming launch and verify capacity.,todo,9,2026-07-11,,[],[],[]
t049,p050,b238,"u020,u014",Logs — Backend Reliability Initiative — Payments Reliability,Provision Terraform resources for the upcoming launch and verify capacity.,todo,9,,"infrastructure,terraform",[],[],[]
t050,p023,b107,,Audit Kubernetes cluster security and policies — Infrastructure Review Q4 2026 — DR Drill,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,5,2026-06-17,"infrastructure,terraform",[],[],[]
t051,p046,b218,"u227,u231,u071",Patch CVE in search index — Cloud Migration Q1 — Wave 2 — Stateful,Review the Kubernetes configuration across production and propose adjustments.,todo,3,2026-05-20,"infrastructure,monitoring",[],[],[]
t052,p026,b122,u162,Patch CVE in search index — Cloud Migration Q4 — Wave 5 — Cleanup,Provision Terraform resources for the upcoming launch and verify capacity.,todo,5,2026-06-16,"infrastructure,cost,kubernetes",[],[],[]
t053,p020,b093,"u251,u275",Audit Kubernetes cluster security and policies — Quarterly Engineering Sprint — Q2 Delivery,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,5,2026-06-08,"infrastructure,review,aws",[],[],[]
t054,p024,b114,,Cleanup — Cloud Migration Q2 — Wave 3 — Data Plane,Coordinate with the ML team on Kubernetes migration.,todo,1,2026-09-01,,[],[],[]
t055,p026,b122,,Roll out audit log viewer to canary — Cloud Migration Q4 — Wave 5 — Cleanup,Document the steps to run Security integration in the new environment.,todo,3,2026-06-03,"infrastructure,monitoring",[],[],[]
t056,p012,b055,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints — DevOps Modernization — ArgoCD Rollout,Review the Security configuration across production and propose adjustments.,todo,9,2026-06-13,"infrastructure,aws,cloud",[],[],[]
t057,p036,b170,"u300,u233",Untitled — AI Platform R&D — Feature Store,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-07-24,,[],[],[]
t058,p043,b204,,Logs — Platform Cleanup Sprint — Build Tooling,Review the Security configuration across production and propose adjustments.,todo,3,2026-06-07,,[],[],[]
t059,p030,b141,,Update PostgreSQL configuration — Infrastructure Review Q3 2026 — Staging GCP,Document the steps to run AWS integration in the new environment.,todo,9,2026-06-16,"infrastructure,review,monitoring",[],[],[]
t060,p030,b143,,Bugfix — Infrastructure Review Q3 2026 — Staging GCP,Document the steps to run Kubernetes integration in the new environment.,todo,1,2026-04-03,"infrastructure,aws,monitoring",[],[],[]
t061,p022,b106,,Document payment service runbook — Product Roadmap Q1 — Workplace Suite,Document the steps to run Security integration in the new environment.,todo,3,2026-05-31,,[],[],[]
t062,p028,b131,"u212,u140,u040",Investigate event bus flaky tests,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,1,2026-06-15,"infrastructure,monitoring",[],[],[]
t063,p029,b138,u240,Docs — Cloud Migration Q1 — Wave 1 — Stateless,Provision Linux resources for the upcoming launch and verify capacity.,todo,1,2026-07-19,"infrastructure,reliability,monitoring",[],[],[]
t064,p041,b196,,Document payment service runbook — Platform Reliability Initiative — Database Tier,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-02-07,,[],[],[]
t065,p003,b013,u010,Set up Redis for data team — DevOps Standalone Project — Terraform Bootstrap,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-09-10,,[],[],[]
t066,p028,b131,"u202,u079",Review search index architecture — Security & Compliance 2026 — ISO 27001 Surveillance,Investigate why AWS usage spiked last week and produce a write-up.,todo,1,2026-09-06,,[],[],[]
t067,p042,b199,"u068,u195",Refactor — Infrastructure Review Q4 2026 — Capacity Forecast,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-06-15,,[],[],[]
t068,p043,b202,"u033,u150,u184",Set up Redis for ML team,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,9,2026-07-11,"infrastructure,cloud",[],[],[]
t069,p048,b228,"u070,u216",Migrate nginx ingress to v18 — Cloud Migration Q2 — Wave 4 — Edge,Investigate why Docker usage spiked last week and produce a write-up.,todo,1,2026-09-02,"infrastructure,cost",[],[],[]
t070,p041,b194,,Logs — Platform Reliability Initiative — Database Tier,Coordinate with the data team on Kubernetes migration.,todo,3,2026-06-16,"infrastructure,infrastructure",[],[],[]
t071,p041,b192,"u110,u280,u221",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy — Platform Reliability Initiative — Database Tier,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-06-01,"infrastructure,security,monitoring",[],[],[]
t072,p012,b057,,Update Redis configuration — DevOps Modernization — ArgoCD Rollout,Coordinate with the data team on Terraform migration.,todo,3,2026-06-04,,[],[],[]
t073,p024,b116,,Roll out cost report to canary — Cloud Migration Q2 — Wave 3 — Data Plane,Coordinate with the backend team on Monitoring migration.,todo,9,2026-05-21,"infrastructure,monitoring",[],[],[]
t074,p031,b146,"u121,u235",Audit CI pipeline security and policies — Platform Cleanup Sprint — Edge Services,Review the Monitoring configuration across production and propose adjustments.,todo,9,2026-04-08,"infrastructure,infrastructure",[],[],[]
t075,p045,b213,"u213,u299,u053",Patch CVE in search index — Mobile App 2026 — Beta Tenant,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-06-05,"infrastructure,aws,monitoring",[],[],[]
t076,p023,b109,"u050,u169,u033",Patch CVE in payment service — Infrastructure Review Q4 2026 — DR Drill,Coordinate with the platform team on AWS migration.,todo,1,2026-09-12,,[],[],[]
t077,p040,b191,,Roll out feature flag dashboard to staging — Product Roadmap Q4 — Workplace Suite,Review the Linux configuration across production and propose adjustments.,todo,5,2026-05-21,"infrastructure,cloud,devops",[],[],[]
t078,p039,b184,,Update Kafka configuration — AI Platform R&D — Evaluation Harness,Coordinate with the backend team on AWS migration.,todo,9,2026-06-09,,[],[],[]
t079,p044,b208,,Logs — Infrastructure Review Q3 2026 — Cost Optimization,Review the Monitoring configuration across production and propose adjustments.,todo,1,2026-05-20,"infrastructure,reliability,terraform",[],[],[]
t080,p049,b231,"u020,u049,u210",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy — AI Platform R&D — MLOps Foundation,Coordinate with the backend team on Docker migration.,todo,3,2026-09-03,"infrastructure,cloud,security",[],[],[]
t081,p002,b008,"u262,u286,u087",Patch CVE in auth gateway — Frontend Modernization — Design System Migration,Investigate why Security usage spiked last week and produce a write-up.,todo,5,2026-06-15,,[],[],[]
t082,p026,b122,"u251,u073",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints — Cloud Migration Q4 — Wave 5 — Cleanup,Coordinate with the platform team on Kubernetes migration.,todo,1,2026-06-19,"infrastructure,cloud",[],[],[]
t083,p006,b027,,Logs — Orphan Plan — Backlog Triage,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,5,2026-07-04,"infrastructure,reliability",[],[],[]
t084,p030,b143,"u035,u090",Bugfix — Infrastructure Review Q3 2026 — Staging GCP (2),Investigate why Security usage spiked last week and produce a write-up.,todo,3,2026-06-16,"infrastructure,aws",[],[],[]
t085,p020,b095,"u102,u139",Set up PostgreSQL for data team,Investigate why AWS usage spiked last week and produce a write-up.,todo,5,2026-05-29,"infrastructure,cost,infrastructure",[],[],[]
t086,p019,b088,u003,Audit Kubernetes cluster security and policies — Infrastructure Review Q4 2026 — Production AWS,Document the steps to run AWS integration in the new environment.,todo,5,2026-05-24,,[],[],[]
t087,p024,b112,"u237,u113",Roll out audit log viewer to staging,Coordinate with the platform team on Docker migration.,todo,5,2026-02-05,,[],[],[]
t088,p050,b238,,Set up Redis for data team — Backend Reliability Initiative — Payments Reliability,Investigate why AWS usage spiked last week and produce a write-up.,todo,9,2026-06-06,"infrastructure,reliability",[],[],[]
t089,p005,b024,,Cleanup — AI Platform R&D — Vector Store,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,9,2026-06-23,,[],[],[]
t090,p023,b109,"u019,u178",Update Kafka configuration — Infrastructure Review Q4 2026 — DR Drill,Investigate why Security usage spiked last week and produce a write-up.,todo,5,2026-07-31,,[],[],[]
t091,p005,b024,,Document search index runbook — AI Platform R&D — Vector Store,Provision AWS resources for the upcoming launch and verify capacity.,todo,5,2026-05-25,"infrastructure,security,kubernetes",[],[],[]
t092,p032,b152,,Set up Kafka for backend team — Cloud Migration Q4 — Wave 6 — Cost Tuning,Review the Kubernetes configuration across production and propose adjustments.,todo,1,2026-05-30,,[],[],[]
t093,p003,b015,,Roll out feature flag dashboard to production — DevOps Standalone Project — Terraform Bootstrap,Coordinate with the backend team on Linux migration.,todo,3,2026-05-24,,[],[],[]
t094,p021,b102,u019,Document job runner runbook — Mobile App 2026 — React Native Shell,Coordinate with the data team on Terraform migration.,todo,5,2026-07-20,,[],[],[]
t095,p044,b208,"u267,u214,u249",Logs — Infrastructure Review Q3 2026 — Cost Optimization (2),Coordinate with the backend team on Kubernetes migration.,todo,3,2026-05-26,"infrastructure,kubernetes",[],[],[]
t096,p011,b054,,Document payment service runbook — Security & Compliance 2026 — SOC 2 Type II,Investigate why Linux usage spiked last week and produce a write-up.,todo,5,2026-09-17,"infrastructure,aws",[],[],[]
t097,p025,b117,"u202,u073",Update Spark cluster configuration — Mobile App 2026 — Offline Sync,Document the steps to run Terraform integration in the new environment.,todo,9,2026-06-14,"infrastructure,review,cost",[],[],[]
t098,p037,b174,,Patch CVE in payment service — Product Roadmap Q3 — Workplace Suite,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-06-12,"infrastructure,reliability,review",[],[],[]
t099,p032,b152,"u249,u236",Untitled — Cloud Migration Q4 — Wave 6 — Cost Tuning,Coordinate with the ML team on AWS migration.,todo,1,2026-07-28,,[],[],[]
t100,p019,b090,,Migrate search index to v15 — Infrastructure Review Q4 2026 — Production AWS,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,9,2026-08-27,"infrastructure,security,monitoring",[],[],[]
t101,p024,b112,,Investigate search index latency spike,Document the steps to run Terraform integration in the new environment.,todo,5,2026-07-29,"infrastructure,aws",[],[],[]
t102,p008,b035,,Audit Kubernetes cluster security and policies — Quarterly Engineering Sprint — Q1 Delivery,Document the steps to run Terraform integration in the new environment.,todo,1,2026-05-26,"infrastructure,review",[],[],[]
t103,p034,b159,u070,Audit CI pipeline security and policies — Frontend Cleanup Sprint — Legacy Pages Sweep,Investigate why Security usage spiked last week and produce a write-up.,todo,3,2026-08-05,,[],[],[]
t104,p021,b098,"u040,u211",Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations — Mobile App 2026 — React Native Shell,Review the Security configuration across production and propose adjustments.,todo,9,,,[],[],[]
t105,p046,b218,"u143,u292,u128",Untitled — Cloud Migration Q1 — Wave 2 — Stateful,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,5,2026-07-11,,[],[],[]
t106,p032,b152,"u038,u221",Docs — Cloud Migration Q4 — Wave 6 — Cost Tuning,Review the Linux configuration across production and propose adjustments.,todo,3,2026-07-08,"infrastructure,reliability",[],[],[]
t107,p044,b206,u218,Investigate payment service memory leak,Investigate why Terraform usage spiked last week and produce a write-up.,todo,5,2026-08-04,"infrastructure,kubernetes,infrastructure",[],[],[]
t108,p001,b003,,Patch CVE in job runner — Infrastructure Review Q2 2026 — Production AWS,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,3,2026-08-31,,[],[],[]
t109,p025,b121,"u078,u288",Document event bus runbook — Mobile App 2026 — Offline Sync,Coordinate with the backend team on Terraform migration.,todo,5,2026-06-14,,[],[],[]
t110,p026,b123,,Migrate search index to v15 — Cloud Migration Q4 — Wave 5 — Cleanup,Coordinate with the platform team on Linux migration.,todo,9,2026-07-07,"infrastructure,aws",[],[],[]
t111,p012,b055,"u107,u149",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy — DevOps Modernization — ArgoCD Rollout,Coordinate with the platform team on Monitoring migration.,todo,1,2026-07-05,"infrastructure,aws,kubernetes",[],[],[]
t112,p007,b032,"u205,u020",Logs — Infrastructure Review Q3 2026 — Production AWS,Provision Linux resources for the upcoming launch and verify capacity.,todo,3,,"infrastructure,infrastructure",[],[],[]
t113,p003,b014,u010,Tests — DevOps Standalone Project — Terraform Bootstrap,Document the steps to run Security integration in the new environment.,todo,5,2026-06-10,"infrastructure,aws,cloud",[],[],[]
t114,p015,b071,,Logs — Mobile App 2026 — iOS Foundation,Review the AWS configuration across production and propose adjustments.,todo,3,2026-02-18,,[],[],[]
t115,p043,b202,,Investigate event bus memory leak,Document the steps to run Terraform integration in the new environment.,todo,3,2026-07-05,"infrastructure,review,infrastructure",[],[],[]
t116,p012,b055,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints — DevOps Modernization — ArgoCD Rollout (2),Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-06-12,,[],[],[]
t117,p043,b202,"u167,u095,u293",Review search index architecture — Platform Cleanup Sprint — Build Tooling,Review the Security configuration across production and propose adjustments.,todo,3,2026-09-01,"infrastructure,aws,devops",[],[],[]
t118,p017,b078,,Roll out audit log viewer to canary — Mobile App 2026 — Android Foundation,Document the steps to run Security integration in the new environment.,todo,3,,,[],[],[]
t119,p045,b215,u116,Roll out feature flag dashboard to staging — Mobile App 2026 — Beta Tenant,Coordinate with the ML team on Docker migration.,todo,9,2026-06-24,"infrastructure,terraform,cost",[],[],[]
t120,p028,b131,u178,Set up monitoring stack for backend team — Security & Compliance 2026 — ISO 27001 Surveillance,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,9,2026-06-12,"infrastructure,monitoring",[],[],[]
t121,p027,b126,"u004,u038,u261",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints — Mobile App 2026 — Atlas Tenant,Coordinate with the data team on Terraform migration.,todo,9,2026-06-02,,[],[],[]
t122,p018,b085,"u286,u246",Bugfix — AI Platform R&D — LLM Gateway,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,3,2026-05-20,"infrastructure,cost,devops",[],[],[]
t123,p025,b121,u272,Document search index runbook — Mobile App 2026 — Offline Sync,Review the Linux configuration across production and propose adjustments.,todo,9,2026-02-14,,[],[],[]
t124,p003,b013,u010,Set up monitoring stack for data team — DevOps Standalone Project — Terraform Bootstrap,Provision Security resources for the upcoming launch and verify capacity.,todo,9,2026-06-05,,[],[],[]
t125,p035,b165,"u142,u187,u061",Patch CVE in auth gateway — AI Platform R&D — RAG Pipeline,Investigate why AWS usage spiked last week and produce a write-up.,todo,5,2026-08-23,"infrastructure,cloud,infrastructure",[],[],[]
t126,p049,b232,,Bugfix — AI Platform R&D — MLOps Foundation,Review the Docker configuration across production and propose adjustments.,todo,3,2026-08-09,,[],[],[]
t127,p046,b218,,Bugfix — Cloud Migration Q1 — Wave 2 — Stateful,Coordinate with the data team on Monitoring migration.,todo,3,2026-06-04,"infrastructure,aws",[],[],[]
t128,p018,b085,,Patch CVE in job runner — AI Platform R&D — LLM Gateway,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-05-26,,[],[],[]
t129,p025,b119,"u202,u283",Patch CVE in nginx ingress — Mobile App 2026 — Offline Sync,Provision Terraform resources for the upcoming launch and verify capacity.,todo,9,2026-03-27,"infrastructure,security,terraform",[],[],[]
t130,p006,b027,,Migrate event bus to v18,Review the Security configuration across production and propose adjustments.,todo,1,,,[],[],[]
t131,p003,b011,u010,Review auth gateway architecture — DevOps Standalone Project — Terraform Bootstrap,Review the Docker configuration across production and propose adjustments.,todo,1,2026-05-28,,[],[],[]
t132,p040,b188,,Cleanup — Product Roadmap Q4 — Workplace Suite,Provision Docker resources for the upcoming launch and verify capacity.,todo,1,2026-05-21,,[],[],[]
t133,p024,b112,,Investigate search index cost regression — Cloud Migration Q2 — Wave 3 — Data Plane,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-05-20,,[],[],[]
t134,p032,b152,,Set up Kafka for platform team — Cloud Migration Q4 — Wave 6 — Cost Tuning,Provision AWS resources for the upcoming launch and verify capacity.,todo,9,2026-06-08,"infrastructure,devops",[],[],[]
t135,p007,b034,u243,Roll out feature flag dashboard to canary — Infrastructure Review Q3 2026 — Production AWS,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-06-06,"infrastructure,kubernetes,monitoring",[],[],[]
t136,p021,b098,"u174,u111",Update PostgreSQL configuration — Mobile App 2026 — React Native Shell,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-09-08,"infrastructure,infrastructure,review",[],[],[]
t137,p001,b001,,Set up Kafka for backend team — Infrastructure Review Q2 2026 — Production AWS,Investigate why Docker usage spiked last week and produce a write-up.,todo,1,2026-06-17,"infrastructure,cost,review",[],[],[]
t138,p029,b136,,Roll out audit log viewer to canary — Cloud Migration Q1 — Wave 1 — Stateless,Review the Terraform configuration across production and propose adjustments.,todo,9,2026-07-17,"infrastructure,cost,devops",[],[],[]
t139,p049,b233,,Logs — AI Platform R&D — MLOps Foundation,Investigate why NLP usage spiked last week and produce a write-up.,in progress,3,2026-07-21,"frontend,design-system,react",[],[],[]
t140,p035,b168,,Roll out feature flag dashboard to production — AI Platform R&D — RAG Pipeline,Coordinate with the ML team on Terraform migration.,todo,3,2026-07-24,,[],[],[]
t141,p023,b109,,Set up Spark cluster for backend team,Provision Node.js resources for the upcoming launch and verify capacity.,in progress,1,2026-05-28,,[],[],[]
t142,p006,b027,,Logs — Orphan Plan — Backlog Triage (2),Document the steps to run Linux integration in the new environment.,done,5,2026-08-31,"infrastructure,security",[],[],[]
t143,p005,b020,"u013,u014",Audit API gateway security and policies — AI Platform R&D — Vector Store,Document the steps to run Kubernetes integration in the new environment.,todo,1,,"infrastructure,monitoring",[],[],[]
t144,p020,b095,"u150,u085",Logs — Quarterly Engineering Sprint — Q2 Delivery,Provision Security resources for the upcoming launch and verify capacity.,todo,5,2026-05-20,"infrastructure,cloud",[],[],[]
t145,p043,b203,"u023,u297,u127",Bugfix — Platform Cleanup Sprint — Build Tooling,Provision Security resources for the upcoming launch and verify capacity.,done,1,2026-08-23,"infrastructure,aws",[],[],[]
t146,p016,b074,"u215,u288,u142",Roll out cost report to production — Platform Cleanup Sprint — Core Services,Document the steps to run Docker integration in the new environment.,in progress,9,2026-07-02,"infrastructure,review,monitoring",[],[],[]
t147,p023,b109,,Set up PostgreSQL for ML team — Infrastructure Review Q4 2026 — DR Drill,Coordinate with the platform team on Node.js migration.,in progress,1,2026-08-19,,[],[],[]
